city_name,psgc,year,annual_mean_nightlight,annual_max_nightlight,annual_std_nightlight
City of Las Piñas,1380200000,2023,17.23444976076555,38.0,5.5057655564243335
City of Las Piñas,1380200000,2024,19.564593301435405,41.0,6.116640566539955
City of Legazpi,500506000,2022,1.235754189944134,19.0,2.755037208059032
City of Legazpi,500506000,2023,1.3921787709497206,20.0,2.8330344296836194
City of Legazpi,500506000,2024,1.3251396648044693,19.0,2.6150369551084984
City of Ligao,500508000,2022,0.44541484716157204,14.0,1.0735018379908177
City of Ligao,500508000,2023,0.5662299854439592,35.0,1.556662226130783
City of Ligao,500508000,2024,0.5138282387190685,14.0,1.1525673081869297
City of Lipa,401014000,2022,3.592485549132948,29.0,4.397036726289027
City of Lipa,401014000,2023,3.88728323699422,30.0,4.323593486281178
City of Lipa,401014000,2024,5.038535645472062,38.0,5.4158885085793065
City of Lucena,431200000,2022,2.5287846481876333,12.0,2.462019127011118
City of Lucena,431200000,2023,2.8699360341151388,17.0,2.7870650427307155
City of Lucena,431200000,2024,3.1982942430703623,18.0,3.133340430005653
City of Maasin,806407000,2022,0.20093023255813955,8.0,0.7743558882349459
City of Maasin,806407000,2023,0.3553488372093023,9.0,0.9120672885142399
City of Maasin,806407000,2024,0.3813953488372093,9.0,0.993760959033558
City of Makati,1380300000,2022,46.683229813664596,132.0,19.3086799778638
City of Makati,1380300000,2023,47.807453416149066,128.0,17.65983460033485
City of Makati,1380300000,2024,50.024844720496894,133.0,19.00505010053155
City of Malabon,1380400000,2022,17.716666666666665,40.0,9.338257629534299
City of Malabon,1380400000,2023,17.45,39.0,8.919874812275488
City of Malabon,1380400000,2024,19.35,47.0,9.938687036022413
City of Malaybalay,1001312000,2022,0.10866935483870968,9.0,0.5155695288327987
City of Malaybalay,1001312000,2023,0.13830645161290323,14.0,0.6252615217679223
City of Malaybalay,1001312000,2024,0.16008064516129034,15.0,0.6807988618311223
City of Malolos,301410000,2022,4.107655502392345,25.0,4.295918699165307
City of Malolos,301410000,2023,4.4330143540669855,29.0,4.562858271156882
City of Malolos,301410000,2024,4.70334928229665,24.0,4.689705541353822
City of Mandaluyong,1380500000,2022,40.077922077922075,62.0,10.275132297648916
City of Mandaluyong,1380500000,2023,40.72727272727273,62.0,9.549102580580596
City of Mandaluyong,1380500000,2024,43.25974025974026,68.0,11.016401700466513
City of Mandaue,731300000,2022,19.760416666666668,72.0,9.619581582708724
City of Mandaue,731300000,2023,24.53125,70.0,11.434098424048717
City of Mandaue,731300000,2024,27.744791666666668,109.0,13.626814632918823
City of Manila,1380600000,2022,46.68518518518518,175.0,30.09923345527816
City of Manila,1380600000,2023,48.00370370370371,176.0,29.458885114825794
City of Manila,1380600000,2024,51.0,208.0,31.02985420287778
City of Marawi,1903617000,2022,1.8359133126934986,9.0,1.7685797467625501
City of Marawi,1903617000,2023,2.3684210526315788,11.0,2.2513552126003833
City of Marawi,1903617000,2024,2.7151702786377707,11.0,2.560594252836933
City of Marikina,1380700000,2022,19.41216216216216,44.0,6.7563074174914055
City of Marikina,1380700000,2023,19.844594594594593,42.0,6.897622815965086
City of Marikina,1380700000,2024,21.60135135135135,45.0,7.908889853474384
City of Masbate,504111000,2022,0.2033271719038817,9.0,0.8376911441769469
City of Masbate,504111000,2023,0.24214417744916822,9.0,0.8834890427389862
City of Masbate,504111000,2024,0.26709796672828096,10.0,1.0026806434964457
City of Mati,1102509000,2022,0.16272896203875764,13.0,0.7633854894049903
City of Mati,1102509000,2023,0.1839660207061322,13.0,0.8152240613161711
City of Mati,1102509000,2024,0.18131138837271038,12.0,0.8076427339501866
City of Meycauayan,301412000,2022,10.213953488372093,53.0,8.81018389046921
City of Meycauayan,301412000,2023,10.344186046511627,50.0,8.023955480109672
City of Meycauayan,301412000,2024,11.474418604651163,40.0,8.344224935741996
City of Muntinlupa,1380800000,2022,17.810924369747898,47.0,8.688467096679275
City of Muntinlupa,1380800000,2023,18.584033613445378,53.0,9.121914541719471
City of Muntinlupa,1380800000,2024,20.92016806722689,59.0,10.640315593916375
City of Naga,501724000,2022,3.4021505376344088,30.0,4.731909035169988
City of Naga,501724000,2023,3.606451612903226,28.0,4.752584049849566
City of Naga,501724000,2024,4.081720430107527,35.0,5.623853694172135
City of Naga,702234000,2022,1.9252873563218391,36.0,4.136114703534948
City of Naga,702234000,2023,2.3984674329501914,36.0,4.453488617884752
City of Naga,702234000,2024,2.5019157088122603,30.0,4.122292001934947
City of Navotas,1380900000,2022,13.375,52.0,14.527648013982917
City of Navotas,1380900000,2023,13.590909090909092,57.0,14.13300164640159
City of Navotas,1380900000,2024,15.102272727272727,60.0,15.597960074031295
City of Olongapo,331400000,2022,3.6513647642679903,60.0,5.867967624580566
City of Olongapo,331400000,2023,3.728287841191067,49.0,5.940304258737781
City of Olongapo,331400000,2024,4.464019851116626,59.0,7.309232797560628
City of Oroquieta,1004209000,2022,0.1668726823238566,5.0,0.5497186468661359
City of Oroquieta,1004209000,2023,0.1557478368355995,5.0,0.535946158669162
City of Oroquieta,1004209000,2024,0.15698393077873918,5.0,0.5458722970042647
City of Ozamiz,1004210000,2022,0.28426395939086296,12.0,0.9600687852739613
City of Ozamiz,1004210000,2023,0.29441624365482233,10.0,0.9328300313295863
City of Ozamiz,1004210000,2024,0.3286802030456853,8.0,0.9025287566682609
City of Pagadian,907322000,2022,0.26854395604395603,11.0,0.9521517394202738
City of Pagadian,907322000,2023,0.34615384615384615,17.0,1.2363369941664561
City of Pagadian,907322000,2024,0.3550824175824176,14.0,1.1916093991909886
City of Palayan,304919000,2022,0.7255936675461742,8.0,1.0137078175586025
City of Palayan,304919000,2023,0.8548812664907651,8.0,1.047699414154415
City of Palayan,304919000,2024,0.9696569920844327,10.0,1.1647313384591493
City of Panabo,1102315000,2022,1.6706586826347305,40.0,3.255475560194457
City of Panabo,1102315000,2023,1.9565868263473054,37.0,3.4995168652780313
City of Panabo,1102315000,2024,2.034431137724551,48.0,3.7814960928642787
City of Parañaque,1381000000,2022,29.10112359550562,136.0,23.3527155718608
City of Parañaque,1381000000,2023,29.348314606741575,144.0,21.14109960870218
City of Parañaque,1381000000,2024,32.254681647940075,145.0,22.64666568937285
City of Pasig,1381200000,2022,37.806930693069305,78.0,11.606900963879012
City of Pasig,1381200000,2023,38.51980198019802,79.0,11.609662413133588
City of Pasig,1381200000,2024,44.23267326732673,170.0,20.324114384811683
City of Passi,603035000,2022,0.2033626901521217,10.0,0.7657321842416418
City of Passi,603035000,2023,0.2754203362690152,11.0,0.9466367943594391
City of Passi,603035000,2024,0.37950360288230583,14.0,1.2078324889006855
City of Puerto Princesa,1731500000,2022,0.19347489291898295,17.0,1.129952783456004
City of Puerto Princesa,1731500000,2023,0.2390412831495489,24.0,1.295703515451864
City of Puerto Princesa,1731500000,2024,0.23348218354141984,22.0,1.268616717384757
City of Roxas,601914000,2022,1.615126050420168,17.0,2.0104198589651308
