city_name,psgc,year,poi_count,large_water_m,small_water_m,building_area_m2,gray_zones_area_m2,green_zones_area_m2,poi_per_km2,large_water_m_per_km2,small_water_m_per_km2,building_coverage_ratio,gray_zones_coverage_ratio,green_zones_coverage_ratio
City of Bago,604502000,2024,1.0,198690.4044945906,69363.89909438214,248697.26990667923,5334694.610670733,67674832.6460182,0.002459771364049772,488.73296728726,170.6193326911991,0.0006117384228338066,0.013122129039278516,0.16646461540953625
City of Bago,604502000,2025,2.0,213527.93068979,89621.78419519849,2026011.2677494287,5635718.010858615,67539856.27991769,0.004919542728099544,525.2298893355498,220.44909835839766,0.00498352449965222,0.013862577778969563,0.1661326044093787
City of Baguio,1430300000,2022,104.0,19197.008104468667,47606.72929648376,7489075.478430184,6545383.897396521,15804212.64041231,1.7889686952701944,330.2196782859871,818.912965342422,0.12882424603295434,0.11259122010546148,0.2718580929527993
City of Baguio,1430300000,2023,100.0,15889.998215597803,48793.90158149709,7563695.433437234,8866912.061362045,18528125.90157736,1.7201622069905715,273.3337439961896,839.3342543210878,0.130107830297859,0.15252527020663853,0.3187138194225648
City of Baguio,1430300000,2024,104.0,22544.40017333129,52838.17581768285,7522531.001874331,9147655.585327936,18872060.376210056,1.7889686952701944,387.80025157436177,908.9023312790117,0.12939973530339144,0.1573545142044733,0.32463005027200803
City of Baguio,1430300000,2025,109.0,22550.62301234903,52180.230074647065,7659640.891969396,9236371.395353315,18808083.482266523,1.874976805619723,387.9072944993468,897.5845972648068,0.13175824781485304,0.15888057004015543,0.32352954392118494
City of Bais,704604000,2022,16.0,106364.569597429,6694.398163595048,684638.1479712476,1206156.8867277503,12042.802671177678,0.06341962491329216,421.60006924579415,26.53476378471436,0.002713718409104221,0.004780876083928634,4.773437676943008e-05
City of Bais,704604000,2023,11.0,136122.59345237428,29216.068985728227,686008.3738632163,1256360.3013609145,12425.846349487623,0.04360099212788836,539.5527386858835,115.80450853223452,0.002719149609861417,0.004979868691766244,4.925265716966911e-05
City of Bais,704604000,2024,8.0,116841.9580861483,29216.068985728227,696838.8898884023,1256360.342819618,12425.846349487623,0.03170981245664608,463.12957224738307,115.80450853223452,0.002762078813857336,0.004979868856097208,4.925265716966911e-05
City of Bais,704604000,2025,7.0,112259.9096784562,30554.119171574977,700368.1639854846,1586020.6765487527,12156229.29786372,0.02774608589956532,444.96758528798426,121.10817358858213,0.002776067891323158,0.006286552275715485,0.04818396890190563
City of Balanga,300803000,2022,31.0,57533.83878486757,69162.72592916427,2405858.972573239,1179993.4265142195,1407396.0769578202,0.34568929196910886,641.5752256066363,771.2520566808491,0.02682837692923776,0.013158422327093652,0.015694250108504847
City of Balanga,300803000,2023,34.0,56658.607972759964,69406.65531995239,2435267.246480617,1780411.4957920334,1411834.661647641,0.3791430944177323,631.8152927115709,773.9721785644621,0.027156316457788574,0.019853844819161613,0.01574374595362643
City of Balanga,300803000,2024,37.0,68698.88174373972,57573.14496447673,2439042.528818047,2206166.675487308,35628.61067946664,0.41259689686635576,766.079606098804,642.0135393291879,0.027198415640956628,0.02460155471016291,0.00039730416772993076
City of Balanga,300803000,2025,36.0,68664.32072941642,57555.57670287519,2444498.670698062,2245559.260002436,36681.68770539927,0.4014456293834813,765.6942069836053,641.81763094486,0.02725925853848519,0.02504083195693284,0.00040904731132617545
City of Baliwag,301403000,2022,26.0,33914.690991554715,64143.79670873415,387265.5877775615,642443.8560321265,123783.58587055215,0.567908862697651,740.786676529081,1401.0704091525593,0.008458906135257396,0.014032675370242245,0.002703761364322396
